strain	strain	Data Source	genbank_accession	pango_lineage	Nuc.Completeness	Sequence Length	Sequence Quality	Quality Assessment	Host	Sample Collection Date	Location
SYC/SS7643/2022	SYC/SS7643/2022	Nextstrain	ON603494	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/11	Seychelles
SYC/SS7674/2022	SYC/SS7674/2022	Nextstrain	ON603417	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/16	Seychelles
SYC/SS7678/2022	SYC/SS7678/2022	Nextstrain	ON603420	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/17	Seychelles
SYC/SS7680/2022	SYC/SS7680/2022	Nextstrain	ON603504	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/17	Seychelles
SYC/SS7685/2022	SYC/SS7685/2022	Nextstrain	ON603424	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/17	Seychelles
SYC/SS7697/2022	SYC/SS7697/2022	Nextstrain	ON603432	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/19	Seychelles
SYC/SS7698/2022	SYC/SS7698/2022	Nextstrain	ON603433	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/19	Seychelles
SYC/SS7707/2022	SYC/SS7707/2022	Nextstrain	ON603438	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/21	Seychelles
SYC/SS7710/2022	SYC/SS7710/2022	Nextstrain	ON603513	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/21	Seychelles
SYC/SS7712/2022	SYC/SS7712/2022	Nextstrain	ON603514	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/21	Seychelles
SYC/SS7714/2022	SYC/SS7714/2022	Nextstrain	ON603439	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/22	Seychelles
SYC/SS7715/2022	SYC/SS7715/2022	Nextstrain	ON603440	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/22	Seychelles
SYC/SS7721/2022	SYC/SS7721/2022	Nextstrain	ON603442	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/24	Seychelles
SYC/SS7723/2022	SYC/SS7723/2022	Nextstrain	ON603443	BA.1.17.2	Complete	29903	High	NA	Homo sapiens	2022/1/24	Seychelles
SYC/SS7735/2022	SYC/SS7735/2022	Nextstrain	ON603444	BA.1.15	Complete	29903	High	NA	Homo sapiens	2022/1/27	Seychelles
SYC/SS7736/2022	SYC/SS7736/2022	Nextstrain	ON603520	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/27	Seychelles
SYC/SS7738/2022	SYC/SS7738/2022	Nextstrain	ON603445	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/28	Seychelles
SYC/SS7748/2022	SYC/SS7748/2022	Nextstrain	ON603448	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/29	Seychelles
SYC/SS7749/2022	SYC/SS7749/2022	Nextstrain	ON603449	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/29	Seychelles
SYC/SS7755/2022	SYC/SS7755/2022	Nextstrain	ON603452	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/31	Seychelles
SYC/SS7756/2022	SYC/SS7756/2022	Nextstrain	ON603453	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/31	Seychelles
SYC/SS7759/2022	SYC/SS7759/2022	Nextstrain	ON603456	BA.1.21	Complete	29903	High	NA	Homo sapiens	2022/1/31	Seychelles
SYC/SS7762/2022	SYC/SS7762/2022	Nextstrain	ON603457	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/1	Seychelles
TLS/TL06/2020	TLS/TL06/2020	Nextstrain	MT612282	B.6	Complete	29903	High	NA	Homo sapiens	2020/4/11	Timor-Leste
TLS/TL25/2020	TLS/TL25/2020	Nextstrain	MT641778	B.35	Complete	29903	High	NA	Homo sapiens	2020/3/30	Timor-Leste
TUN/COV1482/2020	TUN/COV1482/2020	Nextstrain	MT499220	B.1	Complete	29903	High	NA	Homo sapiens	2020/3/31	Tunisia
TUN/COV1663/2020	TUN/COV1663/2020	Nextstrain	MT499218	B.1	Complete	29903	High	NA	Homo sapiens	2020/4/1	Tunisia
TUN/TUN_ADAGE_4681/2020	TUN/TUN_ADAGE_4681/2020	Nextstrain	MT955173	B.1.36	Complete	29903	High	NA	Homo sapiens	2020/7/7	Tunisia
TUR/Ank_DLT/2021	TUR/Ank_DLT/2021	Nextstrain	OM295705	AY.126	Complete	29903	High	NA	Homo sapiens	2021/9/22	Turkey
TUR/DENIZLI_PAU/2020	TUR/DENIZLI_PAU/2020	Nextstrain	MW308549	B.1.9.4	Complete	29903	High	NA	Homo sapiens	2020/7/18	Turkey
UGA/MAKCHScov10/2021	UGA/MAKCHScov10/2021	Nextstrain	MZ287371	A.23.1	Complete	29903	High	NA	Homo sapiens	2021/1/15	Uganda
UGA/MAKCHScov9/2021	UGA/MAKCHScov9/2021	Nextstrain	MZ287367	A.23.1	Complete	29903	High	NA	Homo sapiens	2021/1/13	Uganda
URY/1087_del4/2020	URY/1087_del4/2020	Nextstrain	MZ312091	B.1.1.33	Complete	29903	High	NA	Homo sapiens	2020/10/14	Uruguay
URY/1633_del4/2020	URY/1633_del4/2020	Nextstrain	MZ312088	B.1.1.33	Complete	29903	High	NA	Homo sapiens	2020/11/10	Uruguay
URY/380/2021	URY/380/2021	Nextstrain	MW988205	P.2	Complete	29903	High	NA	Homo sapiens	2021/3/11	Uruguay
URY/M285/2020	URY/M285/2020	Nextstrain	MW298639	N.7	Complete	29903	High	NA	Homo sapiens	2020/7/14	Uruguay
USA/162811/2022	USA/162811/2022	Nextstrain	ON478900	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/11	USA
USA/2027387/2022	USA/2027387/2022	Nextstrain	OM658487	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/26	USA
USA/2088415/2022	USA/2088415/2022	Nextstrain	ON521770	BA.2.12.1	Complete	29903	High	NA	Homo sapiens	2022/4/23	USA
USA/2113981/2022	USA/2113981/2022	Nextstrain	ON893993	BA.4.1	Complete	29903	High	NA	Homo sapiens	2022/6/5	USA
USA/2119997/2022	USA/2119997/2022	Nextstrain	ON905725	BA.2.12.1	Complete	29903	High	NA	Homo sapiens	2022/5/26	USA
USA/40457/2020	USA/40457/2020	Nextstrain	OM315329	B.1.2	Complete	29903	High	NA	Homo sapiens	2020/7/8	USA
USA/81MD224/2021	USA/81MD224/2021	Nextstrain	OL849996	P.2	Complete	29903	High	NA	Homo sapiens	2021/3/22	USA
USA/hCoV_19_USA_ID_IBL_679994_2020/2020	USA/hCoV_19_USA_ID_IBL_679994_2020/2020	Nextstrain	OL984092	B.1.2	Complete	29903	High	NA	Homo sapiens	2020/11/12	USA
USA/JEBH/2020	USA/JEBH/2020	Nextstrain	MW923949	B.1.541	Complete	29903	High	NA	Homo sapiens	2020/10/29	USA
USA/JW3943/2021	USA/JW3943/2021	Nextstrain	OM185713	BA.1	Complete	29903	High	NA	Homo sapiens	2021/12/23	USA
USA/JW6397/2022	USA/JW6397/2022	Nextstrain	ON674004	BA.2.12.1	Complete	29903	High	NA	Homo sapiens	2022/5/23	USA
USA/OKPHL0016252/2022	USA/OKPHL0016252/2022	Nextstrain	ON560565	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/7	USA
USA/OKPHLCOV0011127/2022	USA/OKPHLCOV0011127/2022	Nextstrain	OM887527	BA.1.1.18	Complete	29903	High	NA	Homo sapiens	2022/1/24	USA
USA/OSPHL05853/2022	USA/OSPHL05853/2022	Nextstrain	ON679560	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/22	USA
USA/S180K06_534868/2022	USA/S180K06_534868/2022	Nextstrain	ON873860	BA.5.3.1	Complete	29903	High	NA	Homo sapiens	2022/6/15	USA
USA/TG1209114/2022	USA/TG1209114/2022	Nextstrain	ON518500	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/25	USA
USA/TG1236904/2022	USA/TG1236904/2022	Nextstrain	ON477243	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/10	USA
USA/TG1270039/2022	USA/TG1270039/2022	Nextstrain	ON518922	BA.1	Complete	29903	High	NA	Homo sapiens	2022/3/9	USA
USA/TG1346993/2022	USA/TG1346993/2022	Nextstrain	ON879590	BA.2.1	Complete	29903	High	NA	Homo sapiens	2022/5/9	USA
USA/TG717063/2021	USA/TG717063/2021	Nextstrain	MZ909575	B.1.243	Complete	29903	High	NA	Homo sapiens	2021/1/21	USA
USA/VA_NIDDL_5506/2020	USA/VA_NIDDL_5506/2020	Nextstrain	MW976936	B.1	Complete	29903	High	NA	Homo sapiens	2020/5/30	USA
USA/VSP0202/2020	USA/VSP0202/2020	Nextstrain	OK245571	B.1.369	Complete	29903	High	NA	Homo sapiens	2020/6/12	USA
VEN/11MZ/2020	VEN/11MZ/2020	Nextstrain	MT907518	B.1.1	Complete	29903	High	NA	Homo sapiens	2020/5/23	Venezuela
VEN/1Z/2020	VEN/1Z/2020	Nextstrain	MT907515	A.2	Complete	29903	High	NA	Homo sapiens	2020/3/16	Venezuela
VEN/3NE/2020	VEN/3NE/2020	Nextstrain	MT907516	B.1	Complete	29903	High	NA	Homo sapiens	2020/4/10	Venezuela
VEN/Bol4715/2021	VEN/Bol4715/2021	Nextstrain	MZ611956	P.1	Complete	29903	High	NA	Homo sapiens	2021/1/1	Venezuela
VEN/Dtt24/2021	VEN/Dtt24/2021	Nextstrain	MZ611969	P.1	Complete	29903	High	NA	Homo sapiens	2021/4/18	Venezuela
VEN/Dtt292/2021	VEN/Dtt292/2021	Nextstrain	MZ611970	P.1	Complete	29903	High	NA	Homo sapiens	2021/5/26	Venezuela
VEN/LaG1414/2021	VEN/LaG1414/2021	Nextstrain	MZ611973	B.1	Complete	29903	High	NA	Homo sapiens	2021/2/28	Venezuela
VEN/Mir17/2021	VEN/Mir17/2021	Nextstrain	MZ611961	P.1	Complete	29903	High	NA	Homo sapiens	2021/3/19	Venezuela
VNM/DN_44/2021	VNM/DN_44/2021	Nextstrain	ON459581	AY.57	Complete	29903	High	NA	Homo sapiens	2021/9/30	Vietnam
WestBank/28_2201_386_S16/2022	WestBank/28_2201_386_S16/2022	Nextstrain	ON375761	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/16	Palestine
WestBank/28_2201_469_S5/2022	WestBank/28_2201_469_S5/2022	Nextstrain	ON375752	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/18	Palestine
WestBank/AAS66/2021	WestBank/AAS66/2021	Nextstrain	MZ207863	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/4/9	Palestine
WestBank/AAS72/2021	WestBank/AAS72/2021	Nextstrain	MZ207868	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/4/9	Palestine
WestBank/MH_2201_1147_S20/2022	WestBank/MH_2201_1147_S20/2022	Nextstrain	ON375764	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/16	Palestine
WestBank/MH_2201_1305_S40/2022	WestBank/MH_2201_1305_S40/2022	Nextstrain	ON375782	BA.1	Complete	29903	High	NA	Homo sapiens	2022/1/17	Palestine
WestBank/MH_2201_801_S12/2022	WestBank/MH_2201_801_S12/2022	Nextstrain	ON375759	BA.1	Complete	29903	High	NA	Homo sapiens	2022/1/11	Palestine
WestBank/MS_2201_990_S27/2022	WestBank/MS_2201_990_S27/2022	Nextstrain	ON375770	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/19	Palestine
Wuhan/WH01/2019	Wuhan/WH01/2019	Nextstrain	LR757998	B	Complete	29903	High	NA	Homo sapiens	2019/12/26	China
